Tijdstempel,What programme are you in?,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,I have used ChatGPT to help me with some of my study assignments ,When is your birthday (date)?,How many students do you estimate there are in the room?,Did you stand up to come to your previous answer    ?,What is your stress level (0-100)?,How many hours per week do you do sports (in whole hours)? ,Give a random number,Time you went to bed Yesterday,Categories good day 1,Categories good day 2
4-4-2023 12:08:33,AI,yes,0,mu,nee,gender fluid,yes,23/11/1997,319,unknown,100,0,69,23:30,Others,Others
4-4-2023 12:08:36,AI,no,0,sigma,nee,male,not willing to say,"5th August, 1995",600,no,60,2,42,23.00,Food and drinks,Relaxation and leisure
4-4-2023 12:08:38,AI,no,0,mu,nee,female,no,21/09,220,no,20,5,17,23:30,Physical activity and exercise,Social interaction and relationships
4-4-2023 12:08:52,Data mining,yes,1,mu,ja,male,yes,25-06-1996,100,unknown,50,5,12,23:00,Physical activity and exercise,Relaxation and leisure
4-4-2023 12:08:59,Quantitative Risk Management,no,0,mu,nee,male,yes,18-08-1998,300,no,65,10,874,23:00,Relaxation and leisure,Physical activity and exercise
4-4-2023 12:08:59,BA,yes,0,mu,ja,female,yes,13-03-2000,500,no,80,5,13,00:00,Food and drinks,Physical activity and exercise
4-4-2023 12:09:02,AI,yes,0,mu,ja,male,yes,1999-07-21,150,no,100,7,27,23:00,Productivity and accomplishment,Productivity and accomplishment
4-4-2023 12:09:12,AI,yes,1,mu,ja,male,yes,08-03-2000,600,no,30,4,8,00:00,Relaxation and leisure,Physical activity and exercise
4-4-2023 12:09:15,Computational Science,no,0,unknown,nee,male,not willing to say,24-11-1996,525,no,65,5,3.14,22:30,Others,Others
4-4-2023 12:09:18,Quantitative Risk Management,no,1,mu,ja,female,not willing to say,07.12.1998,570,no,70,6,777,00:00,Others,Others
4-4-2023 12:09:18,AI,yes,0,mu,ja,male,yes,02-01-1999,400,no,10,7,100,00:15,Others,Others
4-4-2023 12:09:22,Computer Science,no,0,mu,ja,male,yes,1999/11/14,550,yes,100,0.5,28482947291,07:00,Food and drinks,Others
4-4-2023 12:09:22,AI,yes,1,mu,ja,male,yes,00-00-0000,-6382,yes,-100,Nadda ,696969,04:00,Relaxation and leisure,Relaxation and leisure
4-4-2023 12:09:26,Bioinformatics,yes,0,mu,ja,male,not willing to say,01-10,450,no,15,10,14,02:00,Others,Others
4-4-2023 12:09:28,Computer Science,no,1,mu,ja,male,no,25th February ,230,no,42,3,42,04:30,Food and drinks,Productivity and accomplishment
4-4-2023 12:09:33,BA,yes,0,mu,ja,female,yes,25.09.2000,300,yes,50,3-4,25,23:00,Relaxation and leisure,Food and drinks
4-4-2023 12:09:44,AI,yes,1,mu,ja,male,yes,4 feb 1999,600,no,0,6,666,00:00,Food and drinks,Relaxation and leisure
4-4-2023 12:09:44,AI,yes,1,mu,ja,male,yes,27-11-1999,600,no,30,12,4153,22:45,Relaxation and leisure,Physical activity and exercise
4-4-2023 12:09:45,,yes,0,mu,nee,male,yes,29-12-1997,750,no,77,6,866,00:30,Others,Others
4-4-2023 12:09:51,BA,yes,1,mu,ja,female,yes,09-02-2000,534,no,40,4,93,00:15,Relaxation and leisure,Social interaction and relationships
4-4-2023 12:09:51,Neuroscience,no,0,mu,nee,female,no,09-05-1999,350,no,70,8,9,22:30,Food and drinks,Social interaction and relationships
4-4-2023 12:09:52,AI,yes,0,sigma,nee,male,yes,14-05-1999,150,no,100,290,290,04:00,Productivity and accomplishment,Productivity and accomplishment
4-4-2023 12:09:53,Computational Science,no,1,mu,nee,male,not willing to say,11/11/1997,300,no,50,2,182638,00:00,Others,Relaxation and leisure
4-4-2023 12:09:54,BA,yes,0,mu,nee,female,no,04-01,800,no,70,0,90,00:00,Food and drinks,Relaxation and leisure
4-4-2023 12:09:59,AI,yes,1,mu,ja,female,yes,08-08-1997,516,no,6,1,666,00:30,Relaxation and leisure,"Social interaction and relationships"
4-4-2023 12:09:59,Computer Science,no,0,mu,nee,female,yes,11-05-1998,85,no,80,0,11,00:00,Food and drinks,Productivity and accomplishment
4-4-2023 12:10:00,Bioinformatics,yes,0,mu,ja,female,no,15-09-2002,450,no,70,2,96,02:00,Food and drinks,Productivity and accomplishment
4-4-2023 12:10:03,BA,yes,0,mu,nee,male,yes,26/04/1997,400,no,99,2,4,02:00,Productivity and accomplishment,Food and drinks
4-4-2023 12:10:05,Bioinformatics,yes,0,sigma,nee,male,yes,2000-10-24,380,unknown,80,8,30,02:45,Food and drinks,Relaxation and leisure
4-4-2023 12:10:09,AI,yes,0,unknown,ja,non-binary,not willing to say,05.07.2002,200,no,10,5,189572,01:00,Relaxation and leisure,Relaxation and leisure
4-4-2023 12:10:11,Bioinformatics,yes,0,mu,nee,female,not willing to say,31-01-2000,449,no,67,2,7,00:30,Social interaction and relationships,Food and drinks
4-4-2023 12:10:11,Bioinformatics,yes,0,mu,nee,female,yes,03/05/1997,600,no,80,2,7,22:20,Relaxation and leisure,Relaxation and leisure
4-4-2023 12:10:14,Computer Science,unknown,unknown,mu,ja,male,no,31-03-1999,500,unknown,90,8,24,00:00,Relaxation and leisure,Others
4-4-2023 12:10:14,Computer Science,no,0,mu,ja,female,yes,7.27,200,no,30,8,27,23:30,Relaxation and leisure,Food and drinks
4-4-2023 12:10:15,Bioinformatics,yes,0,unknown,nee,female,no,18-12-1998,400,no,10,4,25,02:00,Relaxation and leisure,Food and drinks
4-4-2023 12:10:17,Finance and Technology,yes,1,mu,ja,male,not willing to say,17/02/1998,400,no,80,3,11,00:00,Social interaction and relationships,Social interaction and relationships
4-4-2023 12:10:17,AI,yes,1,mu,nee,female,yes,22/08/1999,400,no,80,6,69,22:30,Relaxation and leisure,Physical activity and exercise
4-4-2023 12:10:18,AI,no,1,mu,nee,female,yes,28-09-1998,500,no,50,4,56,23:30,Relaxation and leisure,Food and drinks
4-4-2023 12:10:18,Econometrics,yes,1,mu,ja,male,yes,5 July 2001,300,no,50,6,10,06:00,Productivity and accomplishment,Physical activity and exercise
4-4-2023 12:10:21,AI,yes,1,mu,ja,female,yes,12-03-1999,350,no,40,8,9,23:30,Food and drinks,Social interaction and relationships
4-4-2023 12:10:27,,yes,1,mu,ja,female,yes,14-12-1997,400,no,90,4,3,01:00,Others,Physical activity and exercise
4-4-2023 12:10:32,Bioinformatics,yes,0,mu,ja,female,yes,31/10/2001,300,no,106,2,2,04:00,Productivity and accomplishment,Physical activity and exercise
4-4-2023 12:10:35,Computational Science,yes,0,mu,ja,female,yes,10/01/2001,270,unknown,39,-10,987.654.321.123.456.000,after midnight,Social interaction and relationships,Social interaction and relationships
4-4-2023 12:10:36,AI,yes,1,mu,nee,female,no,01/25/1998,180,no,25,5,66,23:30,Relaxation and leisure,Others
4-4-2023 12:10:36,Bioinformatics,yes,0,mu,nee,male,yes,24/04/1996,230,no,15,12,99,01:00,Food and drinks,Others
4-4-2023 12:10:38,Bioinformatics,yes,0,mu,nee,not willing to answer,yes,08-08-1999,500,no,30,4,3,00:00,Food and drinks,Food and drinks
4-4-2023 12:10:38,Human Language Technology,yes,0,sigma,nee,female,not willing to say,1994-06-18,400,no,55,4,4,00:30,Food and drinks,Relaxation and leisure
4-4-2023 12:10:39,AI,no,0,mu,nee,male,yes,19/09/1998,100,no,10,0,23,00:00,Productivity and accomplishment,Food and drinks
4-4-2023 12:10:40,Econometrics,yes,1,mu,ja,female,not willing to say,08-09-2000,520,no,70,4,999,00:00,Relaxation and leisure,Relaxation and leisure
4-4-2023 12:10:41,Computational Science,yes,0,mu,nee,female,yes,17-04-1998,550,no,0,3,43,00:30,Physical activity and exercise,Others
4-4-2023 12:10:42,Computer Science,yes,unknown,mu,ja,male,yes,02-11-2000,200,no,30,7,Random number,02:00,Relaxation and leisure,Social interaction and relationships
4-4-2023 12:10:42,Econometrics,unknown,0,mu,nee,male,yes,06-09-1998,75,no,55,5,6,00:00,Productivity and accomplishment,Productivity and accomplishment
4-4-2023 12:10:43,Computer Science,yes,0,unknown,ja,male,not willing to say,2000-2-28,300,unknown,30,5,69,00:00,Food and drinks,Relaxation and leisure
4-4-2023 12:10:45,Finance and Technology,yes,unknown,mu,nee,male,yes,30 March 1998,200,no,50,7,42,00:30,Relaxation and leisure,Others
4-4-2023 12:10:45,Computer Science,no,0,mu,ja,female,not willing to say,12-06-1998,300,no,99,5-6,22,01:40,Food and drinks,Physical activity and exercise
4-4-2023 12:10:45,Bioinformatics,yes,0,mu,ja,female,yes,16-01-1999,400,no,65,3,4,22:00,Relaxation and leisure,Social interaction and relationships
4-4-2023 12:10:45,Bioinformatics,yes,0,unknown,nee,female,yes,22.04.1996,581,no,100,3,22,01:00,Relaxation and leisure,Others
4-4-2023 12:10:46,AI,no,0,mu,nee,female,yes,12-08-1999,120,no,30,5,35,02:00,Food and drinks,Physical activity and exercise
4-4-2023 12:10:47,Finance and Technology,yes,1,mu,nee,gender fluid,no,17/12,400,no,999,5,29,02:00,Physical activity and exercise,Productivity and accomplishment
4-4-2023 12:10:48,Finance and Technology,yes,0,sigma,nee,male,no,2/6/1997,200,no,10,0,7,01:00,Food and drinks,Relaxation and leisure
